Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
1859580c321756f862c985548f1bb07b;17/08/2023;17/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
33f5e0be7377df6f8dcd5631cff05f2e;17/08/2023;17/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
666c0c9957e2bfe09a12c89c59a443e6;17/08/2023;17/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
1c798a16c290fbd35d852802aa54d16b;18/08/2023;17/08/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;RO;DPF/JPN/RO                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$15.000,00;;;;0;0;0;0;0;0;0;0;0;0
2b4afbe2762ace3c8fc05d748da41f9f;25/11/2022;16/08/2023;Operacao Especial;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
10564118d31434c2445f8d1ee39cba7a;27/02/2023;16/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
e74300b4a25aa8aefc1df90007acd16e;27/03/2023;16/08/2023;Operacao Comum   ;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
e385467a195b039ce667c0779e6e6c6b;20/06/2023;16/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;PR;DPF/FIG/PR                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
b627f3daa0ae3da5cb4922fffdcfaaa3;10/08/2023;16/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;1;0;;;;;0;0;0;0;0;0;0;0;0;0
968d7aae14ada4e4cfbf0cb0899a0128;16/08/2023;16/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f86d43d276bae59aefc1159e5da15141;16/08/2023;16/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8644f0a847d297d463a39300b2e54772;16/08/2023;16/08/2023;Operacao de Apoio;Crimes Contra o Patrimônio                                                                                                      ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a71d949fc4626b571f3e647277228d86;16/08/2023;16/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c219107c668db057b17f1b88741538c5;16/08/2023;16/08/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;MS;DPF/NVI/MS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$5.534,00;;;;0;0;0;0;0;0;0;0;0;0
25b15bba31a5c0ad9ab1d59209dcfc8f;16/08/2023;16/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
31884646cc53987259dedb82bb12bc00;20/08/2021;15/08/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
11aad005bd9dadc19b825d7d11c3dedd;20/10/2022;15/08/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;1;1;0;2;;;;;0;0;0;0;0;0;0;0;0;0
18193913dd17681d584ecd22d7966392;08/12/2022;15/08/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
b0896ded63580d157d92e84db4f0b064;13/07/2023;15/08/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
d4b22f58a519c8c03a5982b7e8cb54d2;14/08/2023;15/08/2023;Operacao Comum   ;Tráfico de Drogas                                                                                                               ;MG;FTSP/DPF/UDI/MG                                                 ;Nao;                                                                                                                                ;2;0;0;0;R$42.000,00;;;;0;0;0;0;0;0;0;0;0;0
a1d2282208205a6832a37601df840de2;15/08/2023;15/08/2023;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;1;1;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ce679cb3feec6acbddb537bdab16a679;15/08/2023;15/08/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;1;0;0;0;R$1.950,00;;;;0;0;0;0;0;0;0;0;0;0
5e80cdcc3d340f8025b73910daf4c7d3;15/08/2023;15/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c88d74bf0bd06af25077a91a86ad4b21;14/08/2023;14/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;BA;DPF/BRA/BA                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$500,00;;;;0;0;0;0;0;0;0;0;0;0
